time,temperature_2m,relativehumidity_2m,precipitation,windspeed_10m,winddirection_10m,u,v
2026-01-28 00:00:00,14.4,89.0,0.3,23.4,35.0,-13.421688610614485,-19.1681578363624
2026-01-28 01:00:00,14.2,89.0,0.3,23.4,33.0,-12.74455341935163,-19.62489128992292
2026-01-28 02:00:00,14.1,88.0,0.4,24.6,38.0,-15.145272293011189,-19.385064538725366
2026-01-28 03:00:00,14.2,87.0,0.1,23.6,36.0,-13.87173195410237,-19.092801067248757
2026-01-28 04:00:00,14.1,85.0,0.1,23.7,39.0,-14.914893267881157,-18.4183592865302
2026-01-28 05:00:00,13.8,85.0,0.0,24.5,35.0,-14.052622690600636,-20.069225085080294
2026-01-28 06:00:00,13.6,82.0,0.0,24.8,38.0,-15.26840458807632,-19.54266668944671
2026-01-28 07:00:00,13.6,82.0,0.0,23.8,37.0,-14.32319755101875,-19.00752513912557
2026-01-28 08:00:00,14.9,79.0,0.0,23.6,40.0,-15.169787588602333,-18.07864885760788
2026-01-28 09:00:00,16.2,70.0,0.0,28.7,47.0,-20.989851236470194,-19.573352933793704
2026-01-28 10:00:00,17.0,66.0,0.0,27.3,48.0,-20.287853735532863,-18.26726555359683
2026-01-28 11:00:00,17.9,62.0,0.0,26.3,42.0,-17.59813494723797,-19.544708910055473
2026-01-28 12:00:00,18.5,60.0,0.0,25.9,40.0,-16.64819909088137,-19.840551076781527
2026-01-28 13:00:00,18.7,58.0,0.0,26.1,37.0,-15.70737210426846,-20.844386812234344
2026-01-28 14:00:00,18.4,60.0,0.0,28.1,40.0,-18.06233183219176,-21.52584885164328
2026-01-28 15:00:00,17.5,64.0,0.0,29.1,38.0,-17.91574893197665,-22.931112929955614
2026-01-28 16:00:00,16.5,67.0,0.0,28.5,40.0,-18.319446876066376,-21.83226662889087
2026-01-28 17:00:00,15.9,68.0,0.0,27.3,41.0,-17.91041149144085,-20.603571540081678
2026-01-28 18:00:00,14.8,76.0,0.0,27.5,37.0,-16.549913136681326,-21.962476526300552
2026-01-28 19:00:00,14.6,78.0,0.0,27.8,37.0,-16.73045764362694,-22.202067179314742
2026-01-28 20:00:00,14.5,80.0,0.0,28.8,39.0,-18.12442726223533,-22.38180368996075
2026-01-28 21:00:00,14.6,80.0,0.0,28.4,37.0,-17.09154665751817,-22.681248485343115
2026-01-28 22:00:00,14.3,83.0,0.0,27.9,34.0,-15.601482006833828,-23.130148274285666
2026-01-28 23:00:00,14.3,83.0,0.0,27.4,35.0,-15.71599435601867,-22.444766013518368
2026-01-29 00:00:00,14.4,82.0,0.0,25.7,34.0,-14.371257619198186,-21.306265614664575
