time,temperature_2m,relativehumidity_2m,precipitation,windspeed_10m,winddirection_10m,u,v
2025-09-09 00:00:00,26.0,74.0,0.0,9.2,192.0,1.9127875555233869,8.998957926751011
2025-09-09 01:00:00,26.2,74.0,0.0,14.0,198.0,4.326237921249264,13.31479122813215
2025-09-09 02:00:00,26.1,72.0,0.0,13.3,196.0,3.665976832366089,12.784780555979642
2025-09-09 03:00:00,26.1,71.0,0.0,13.8,206.0,6.049521825689269,12.403357838928505
2025-09-09 04:00:00,26.1,70.0,0.0,12.0,196.0,3.30764826980399,11.535140351259827
2025-09-09 05:00:00,25.0,74.0,0.0,9.6,196.0,2.646118615843192,9.228112281007862
2025-09-09 06:00:00,24.6,77.0,0.0,8.5,168.0,-1.7672493719509543,8.314254606237348
2025-09-09 07:00:00,26.0,78.0,0.0,6.8,155.0,-2.8738041798367555,6.16289295184922
2025-09-09 08:00:00,28.2,71.0,0.0,8.1,219.0,5.097495167503683,6.294882287801464
2025-09-09 09:00:00,29.9,66.0,0.0,12.2,225.0,8.62670273047588,8.626702730475879
2025-09-09 10:00:00,30.9,63.0,0.0,12.7,237.0,10.651116212906885,6.916915744690844
2025-09-09 11:00:00,30.3,63.0,1.3,13.3,238.0,11.279039678880466,7.047926214301626
2025-09-09 12:00:00,29.9,70.0,1.5,12.4,237.0,10.399515042523259,6.753524034186336
2025-09-09 13:00:00,30.6,70.0,0.3,9.9,228.0,7.357133772226203,6.624393002952697
2025-09-09 14:00:00,28.2,82.0,2.4,10.5,231.0,8.160032595298194,6.6078641060232925
2025-09-09 15:00:00,28.6,79.0,0.1,12.1,223.0,8.252180156756232,8.849379789591962
2025-09-09 16:00:00,28.4,79.0,0.0,9.4,227.0,6.874724795220202,6.410784584587486
2025-09-09 17:00:00,28.0,81.0,0.0,6.5,257.0,6.333405421104029,1.4621818532351225
2025-09-09 18:00:00,26.7,88.0,0.0,2.0,180.0,1.2246467991473532e-16,2.0
2025-09-09 19:00:00,26.1,90.0,0.0,2.7,138.0,-1.8066526371689173,2.0064910287889646
2025-09-09 20:00:00,25.7,89.0,0.0,1.8,127.0,-1.4375439180851273,1.0832670416736867
2025-09-09 21:00:00,26.7,87.0,0.0,6.2,150.0,-3.0999999999999988,5.36935750346352
2025-09-09 22:00:00,26.6,84.0,0.0,5.2,166.0,-1.2579938571182725,5.045537776635181
2025-09-09 23:00:00,26.1,84.0,0.0,7.7,162.0,-2.3794308566870948,7.323135175472683
2025-09-10 00:00:00,25.2,84.0,0.0,9.2,152.0,-4.319138377630196,8.123117854302127
2025-09-10 01:00:00,25.2,81.0,0.0,10.3,161.0,-3.3533519909087137,9.738841328672963
2025-09-10 02:00:00,24.6,83.0,0.0,7.9,150.0,-3.9499999999999984,6.841600689897066
2025-09-10 03:00:00,24.0,84.0,0.0,8.5,142.0,-5.233122540268096,6.698091405657137
2025-09-10 04:00:00,23.8,84.0,0.0,6.3,143.0,-3.7914346458579047,5.031403713297944
2025-09-10 05:00:00,23.9,82.0,0.0,6.8,145.0,-3.900319767187114,5.570233901165143
2025-09-10 06:00:00,24.1,82.0,0.0,9.2,149.0,-4.738350289172499,7.8859391664594325
2025-09-10 07:00:00,25.8,80.0,0.0,8.1,159.0,-2.902780391316932,7.5620014546273335
2025-09-10 08:00:00,28.2,77.0,0.0,6.2,195.0,1.6046780796356286,5.9887401229922235
2025-09-10 09:00:00,30.1,65.0,0.0,3.7,247.0,3.4058679577740296,1.445705175410313
2025-09-10 10:00:00,31.3,60.0,0.0,4.7,288.0,4.469965626587221,-1.4523798735622528
2025-09-10 11:00:00,32.1,58.0,0.0,6.1,313.0,4.461257579876939,-4.1601899963812405
2025-09-10 12:00:00,31.1,63.0,0.3,8.4,332.0,3.9435611274014835,-7.416759780014986
2025-09-10 13:00:00,30.1,70.0,0.8,6.5,336.0,2.6437881799927014,-5.938045474676906
2025-09-10 14:00:00,28.4,84.0,4.8,5.6,92.0,-5.596588631306936,0.19543718153400638
2025-09-10 15:00:00,28.4,86.0,3.4,2.6,141.0,-1.6362330167295769,2.020579499788125
2025-09-10 16:00:00,26.8,89.0,4.8,2.7,132.0,-2.006491028788964,1.8066526371689176
2025-09-10 17:00:00,26.2,89.0,2.1,7.5,150.0,-3.7499999999999982,6.49519052838329
2025-09-10 18:00:00,26.0,92.0,0.0,3.9,137.0,-2.6597936042437436,2.852279436314765
2025-09-10 19:00:00,25.6,96.0,0.2,5.4,116.0,-4.853487850015503,2.3672041926610174
2025-09-10 20:00:00,25.1,96.0,0.0,4.9,129.0,-3.808015211139158,3.0836699161442036
2025-09-10 21:00:00,24.5,89.0,0.0,4.8,138.0,-3.2118269105225195,3.5670951622914924
2025-09-10 22:00:00,24.4,87.0,0.0,3.3,135.0,-2.3334523779156067,2.3334523779156067
2025-09-10 23:00:00,24.8,82.0,0.0,1.4,130.0,-1.072462220366569,0.8999026535611552
2025-09-11 00:00:00,24.9,81.0,0.0,1.8,143.0,-1.0832670416736871,1.4375439180851268
2025-09-11 01:00:00,24.9,80.0,0.0,2.1,142.0,-1.2928890981838825,1.6548225825741163
2025-09-11 02:00:00,24.6,81.0,0.0,1.2,129.0,-0.9325751537483651,0.7551844692598049
2025-09-11 03:00:00,24.6,81.0,0.0,2.2,125.0,-1.8021344974357822,1.2618681599723012
2025-09-11 04:00:00,23.3,87.0,0.0,1.9,124.0,-1.575171387854579,1.0624665165944192
2025-09-11 05:00:00,22.6,92.0,0.0,2.8,130.0,-2.144924440733138,1.7998053071223103
2025-09-11 06:00:00,22.3,94.0,0.0,2.0,135.0,-1.414213562373095,1.4142135623730951
2025-09-11 07:00:00,24.7,89.0,0.0,1.4,140.0,-0.8999026535611551,1.0724622203665692
2025-09-11 08:00:00,27.2,81.0,0.0,3.9,16.0,-1.0749856876862955,-3.748920614159444
2025-09-11 09:00:00,29.5,71.0,0.0,5.4,20.0,-1.8469087739586103,-5.074340152243906
2025-09-11 10:00:00,30.7,65.0,0.0,8.6,8.0,-1.196888668256566,-8.516305391177504
2025-09-11 11:00:00,31.5,63.0,0.0,10.6,2.0,-0.36993466504650807,-10.593542766402415
2025-09-11 12:00:00,31.6,65.0,0.0,11.9,355.0,1.0371533386971319,-11.854716907291772
2025-09-11 13:00:00,30.6,69.0,0.2,11.4,355.0,0.9935754673233028,-11.3566195582459
2025-09-11 14:00:00,30.1,73.0,0.3,8.6,26.0,-3.7699918623860684,-7.729628798172834
2025-09-11 15:00:00,29.5,75.0,0.3,6.2,7.0,-0.7555899291119125,-6.153786140176197
2025-09-11 16:00:00,28.7,79.0,0.6,3.5,15.0,-0.9058666578588221,-3.380740392011739
2025-09-11 17:00:00,28.0,89.0,0.7000000000000001,2.4,27.0,-1.0895771993749126,-2.138415658052083
2025-09-11 18:00:00,26.6,96.0,0.0,3.8,177.0,-0.1988766337231866,3.7947922320673806
2025-09-11 19:00:00,25.8,96.0,0.2,5.7,242.0,5.032801279295884,2.675987907879578
2025-09-11 20:00:00,25.1,98.0,0.0,4.2,198.0,1.2978713763747793,3.994437368439645
2025-09-11 21:00:00,26.0,87.0,0.0,8.5,173.0,-1.0358894189437526,8.436642288951237
2025-09-11 22:00:00,26.0,88.0,0.0,8.9,193.0,2.002064383660398,8.671893576588594
2025-09-11 23:00:00,25.9,88.0,0.0,6.0,190.0,1.0418890660015825,5.908846518073248
2025-09-12 00:00:00,25.9,86.0,0.0,6.7,175.0,-0.5839434764093102,6.674504477214695
2025-09-12 01:00:00,25.2,84.0,0.0,8.6,150.0,-4.299999999999998,7.447818472546173
2025-09-12 02:00:00,24.4,84.0,0.0,9.1,153.0,-4.131313547629874,8.108159370114148
2025-09-12 03:00:00,24.4,83.0,0.0,9.8,157.0,-3.8291650591948834,9.020947563833916
2025-09-12 04:00:00,24.2,84.0,0.0,9.7,153.0,-4.403707847473602,8.642763284627168
2025-09-12 05:00:00,24.2,85.0,0.0,9.3,153.0,-4.222111647577784,8.286360674951823
2025-09-12 06:00:00,24.1,86.0,0.0,7.7,155.0,-3.254160615403385,6.978569960182205
2025-09-12 07:00:00,26.1,83.0,0.0,7.4,162.0,-2.2867257583746103,7.037818220584137
2025-09-12 08:00:00,28.1,76.0,0.0,6.2,213.0,3.376762017093168,5.199757521261629
2025-09-12 09:00:00,29.7,70.0,0.0,6.3,246.0,5.755336383148386,2.5624408513775414
2025-09-12 10:00:00,30.6,68.0,0.0,5.6,268.0,5.596588631306936,0.1954371815340054
2025-09-12 11:00:00,31.4,65.0,0.0,6.0,273.0,5.991777208527443,-0.314015737457663
2025-09-12 12:00:00,31.1,66.0,0.1,5.2,311.0,3.9244898171584146,-3.411506950750638
2025-09-12 13:00:00,30.5,67.0,1.0,4.1,308.0,3.2308440897875594,-2.524212048835199
2025-09-12 14:00:00,28.0,84.0,5.5,2.9,330.0,1.4500000000000002,-2.5114736709748717
2025-09-12 15:00:00,27.5,88.0,0.1,4.9,100.0,-4.82555798975982,0.8508760705679584
2025-09-12 16:00:00,27.4,93.0,0.0,1.1,189.0,0.17207791154425403,1.0864571746546516
2025-09-12 17:00:00,27.9,89.0,0.0,1.0,315.0,0.7071067811865476,-0.7071067811865475
2025-09-12 18:00:00,26.5,95.0,0.0,1.0,112.0,-0.9271838545667873,0.37460659341591224
2025-09-12 19:00:00,26.0,95.0,0.0,2.5,135.0,-1.7677669529663687,1.7677669529663689
2025-09-12 20:00:00,25.5,91.0,0.0,2.2,138.0,-1.4720873339894882,1.6349186160502676
2025-09-12 21:00:00,25.7,84.0,0.0,2.3,141.0,-1.4474368994146256,1.7874357113510333
2025-09-12 22:00:00,25.6,79.0,0.0,3.5,145.0,-2.0075175272286616,2.867032155011471
2025-09-12 23:00:00,24.0,84.0,0.0,6.0,147.0,-3.2678342100901627,5.032023407672543
2025-09-13 00:00:00,23.3,86.0,0.0,6.5,150.0,-3.2499999999999987,5.629165124598852
2025-09-13 01:00:00,23.7,83.0,0.0,7.7,150.0,-3.8499999999999983,6.668395609140179
2025-09-13 02:00:00,23.9,81.0,0.0,8.9,159.0,-3.1894747509531727,8.308865795825096
2025-09-13 03:00:00,24.1,82.0,0.0,9.6,160.0,-3.2833933759264196,9.02104915954472
2025-09-13 04:00:00,23.6,85.0,0.0,8.6,157.0,-3.3602877050077544,7.916341739690986
2025-09-13 05:00:00,23.5,85.0,0.0,8.7,158.0,-3.259077362718435,8.066499534731049
2025-09-13 06:00:00,23.5,86.0,0.0,8.7,159.0,-3.117801161044112,8.122149710525655
2025-09-13 07:00:00,26.0,81.0,0.0,9.2,174.0,-0.9616618620624127,9.149601437388114
2025-09-13 08:00:00,28.2,76.0,0.0,10.4,217.0,6.258876240781303,8.305809304491845
2025-09-13 09:00:00,29.7,66.0,0.0,8.2,237.0,6.877098657152477,4.466040087123222
2025-09-13 10:00:00,30.8,60.0,0.0,8.0,247.0,7.364038827619523,3.12584902791419
2025-09-13 11:00:00,31.7,58.0,0.0,7.5,260.0,7.3860581475915605,1.3023613325019774
2025-09-13 12:00:00,32.0,58.0,0.0,7.9,257.0,7.697523511803359,1.7771133293165335
2025-09-13 13:00:00,30.9,61.0,1.2,6.8,238.0,5.766727053863696,3.603450996785793
2025-09-13 14:00:00,29.9,67.0,0.1,7.1,190.0,1.232902061435206,6.992135046386677
2025-09-13 15:00:00,30.6,63.0,0.3,6.0,197.0,1.7542302283364206,5.737828535778212
2025-09-13 16:00:00,29.9,68.0,0.1,2.6,245.0,2.3564002462952898,1.0988074805258186
2025-09-13 17:00:00,29.0,74.0,0.4,2.0,153.0,-0.9079809994790934,1.7820130483767358
2025-09-13 18:00:00,27.0,87.0,0.0,1.4,113.0,-1.2887067948334165,0.5470235798849833
2025-09-13 19:00:00,26.1,89.0,0.0,2.4,117.0,-2.138415658052083,1.0895771993749124
2025-09-13 20:00:00,25.1,90.0,0.0,1.0,121.0,-0.8571673007021122,0.5150380749100544
2025-09-13 21:00:00,25.0,87.0,0.0,2.2,132.0,-1.634918616050267,1.4720873339894884
2025-09-13 22:00:00,23.9,90.0,0.0,2.4,132.0,-1.7835475811457455,1.60591345526126
2025-09-13 23:00:00,23.5,90.0,0.0,3.1,130.0,-2.3747377736688318,1.9926415900282723
2025-09-14 00:00:00,23.7,88.0,0.0,4.1,135.0,-2.8991378028648445,2.899137802864845
2025-09-14 01:00:00,23.8,86.0,0.0,3.7,137.0,-2.523393932231244,2.7060086959909313
2025-09-14 02:00:00,23.9,85.0,0.0,2.8,135.0,-1.9798989873223327,1.9798989873223332
2025-09-14 03:00:00,24.1,83.0,0.0,1.8,135.0,-1.2727922061357855,1.2727922061357857
2025-09-14 04:00:00,24.1,83.0,0.0,1.9,139.0,-1.2465121550819636,1.433948202423267
2025-09-14 05:00:00,23.8,83.0,0.0,2.2,138.0,-1.4720873339894882,1.6349186160502676
2025-09-14 06:00:00,22.8,87.0,0.0,2.8,140.0,-1.7998053071223101,2.1449244407331385
2025-09-14 07:00:00,25.4,86.0,0.0,2.4,138.0,-1.6059134552612597,1.7835475811457462
2025-09-14 08:00:00,28.4,74.0,0.0,1.5,324.0,0.8816778784387097,-1.2135254915624212
