time,temperature_2m,relativehumidity_2m,precipitation,windspeed_10m,winddirection_10m,u,v
2026-01-23 00:00:00,13.8,69.0,0.0,10.4,346.0,2.515987714236544,-10.091075553270363
2026-01-23 01:00:00,13.1,72.0,0.0,8.8,358.0,0.30711557098200953,-8.794639277768043
2026-01-23 02:00:00,12.6,76.0,0.0,7.8,347.0,1.7546182238821464,-7.6000865053248345
2026-01-23 03:00:00,12.4,77.0,0.0,8.0,337.0,3.1258490279141897,-7.364038827619523
2026-01-23 04:00:00,12.3,78.0,0.0,9.1,350.0,1.5801984167690668,-8.961750552411093
2026-01-23 05:00:00,12.3,79.0,0.0,9.6,352.0,1.3360617692166283,-9.506573459919075
2026-01-23 06:00:00,11.9,81.0,0.0,8.2,351.0,1.2827626133298935,-8.09904439288013
2026-01-23 07:00:00,11.9,82.0,0.0,7.0,342.0,2.163118960624632,-6.657395614066075
2026-01-23 08:00:00,14.1,76.0,0.0,3.9,313.0,2.8522794363147645,-2.659793604243744
2026-01-23 09:00:00,17.2,64.0,0.0,5.0,325.0,2.8678821817552307,-4.095760221444959
2026-01-23 10:00:00,19.6,56.0,0.0,5.1,321.0,3.209533994354171,-3.963444403430551
2026-01-23 11:00:00,21.5,51.0,0.0,4.8,299.0,4.1981745942691,-2.3270861771824176
2026-01-23 12:00:00,22.9,45.0,0.0,5.6,274.0,5.586358681455015,-0.3906362529671017
2026-01-23 13:00:00,23.7,43.0,0.0,9.0,271.0,8.998629256407522,-0.1570716579355516
2026-01-23 14:00:00,23.1,47.0,0.0,10.6,284.0,10.285134698525562,-2.5643720933564778
2026-01-23 15:00:00,22.5,51.0,0.0,12.8,292.0,11.86795333845488,-4.794964395723674
2026-01-23 16:00:00,21.5,55.0,0.0,11.4,296.0,10.246252127810505,-4.997431073395482
2026-01-23 17:00:00,20.5,58.0,0.0,11.2,310.0,8.579697762932554,-7.199221228489239
2026-01-23 18:00:00,18.7,64.0,0.0,9.7,335.0,4.099397138884784,-8.791185534255504
2026-01-23 19:00:00,17.9,67.0,0.0,7.0,339.0,2.5085756468171025,-6.535062985480412
2026-01-23 20:00:00,17.4,71.0,0.0,11.5,352.0,1.6004906610407528,-11.38808279052806
2026-01-23 21:00:00,16.6,75.0,0.0,8.7,352.0,1.2108059783525695,-8.61533219805166
2026-01-23 22:00:00,15.9,80.0,0.0,8.6,352.0,1.196888668256563,-8.516305391177506
2026-01-23 23:00:00,15.3,85.0,0.0,8.0,337.0,3.1258490279141897,-7.364038827619523
2026-01-24 00:00:00,14.8,89.0,0.0,8.3,333.0,3.768121147838239,-7.3953541507634535
2026-01-24 01:00:00,14.7,90.0,0.0,8.6,340.0,2.9413732326007516,-8.081356538758811
2026-01-24 02:00:00,14.9,88.0,0.0,8.8,341.0,2.8649997592229797,-8.320563465273988
2026-01-24 03:00:00,15.2,86.0,0.0,10.2,346.0,2.46760333511661,-9.897016408015164
2026-01-24 04:00:00,15.7,83.0,0.0,9.7,349.0,1.8508472551524855,-9.52178367944234
2026-01-24 05:00:00,15.6,83.0,0.0,10.2,351.0,1.5956315434103554,-10.074421074070404
2026-01-24 06:00:00,15.4,83.0,0.0,10.3,356.0,0.71849167956449,-10.27490971767619
2026-01-24 07:00:00,14.9,86.0,0.0,10.4,352.0,1.447400249984681,-10.298787914912332
2026-01-24 08:00:00,16.5,79.0,0.0,8.8,11.0,-1.6791191593135928,-8.638319214339443
2026-01-24 09:00:00,19.0,67.0,0.0,8.0,344.0,2.2050988465359933,-7.690093567506551
2026-01-24 10:00:00,21.2,57.0,0.0,7.5,343.0,2.192787785420526,-7.172285669722766
2026-01-24 11:00:00,23.0,49.0,0.0,7.8,331.0,3.7815150379214293,-6.822033715687287
2026-01-24 12:00:00,24.4,44.0,0.0,6.3,325.0,3.613531549011591,-5.160657879020648
2026-01-24 13:00:00,25.4,41.0,0.0,5.6,315.0,3.9597979746446663,-3.9597979746446654
2026-01-24 14:00:00,25.4,42.0,0.0,8.1,298.0,7.151875502157308,-3.8027196585657155
2026-01-24 15:00:00,25.1,43.0,0.0,9.4,302.0,7.9716521038704045,-4.981241083792126
2026-01-24 16:00:00,24.4,46.0,0.0,10.7,314.0,7.696935863623567,-7.43284456391127
2026-01-24 17:00:00,22.6,55.0,0.0,12.2,327.0,6.64459622718333,-10.231780928934173
2026-01-24 18:00:00,20.4,64.0,0.0,11.2,339.0,4.013721034907364,-10.45610077676866
2026-01-24 19:00:00,18.9,70.0,0.0,12.8,349.0,2.442355140819775,-12.5648279481301
2026-01-24 20:00:00,18.0,76.0,0.0,7.7,332.0,3.61493103345136,-6.798696465013737
2026-01-24 21:00:00,17.0,82.0,0.0,6.6,331.0,3.199743493625825,-5.772490067120011
2026-01-24 22:00:00,16.0,89.0,0.0,3.7,317.0,2.5233939322312446,-2.706008695990931
2026-01-24 23:00:00,15.6,92.0,0.0,4.4,322.0,2.7089104914328965,-3.467247315869577
2026-01-25 00:00:00,15.2,94.0,0.0,4.4,341.0,1.4324998796114898,-4.160281732636994
2026-01-25 01:00:00,15.1,95.0,0.0,4.3,332.0,2.0187277199793305,-3.7966746492933856
2026-01-25 02:00:00,15.1,95.0,0.0,4.1,345.0,1.061158084920335,-3.96029588778518
2026-01-25 03:00:00,15.1,95.0,0.0,6.1,355.0,0.5316500307607146,-6.076787658359647
2026-01-25 04:00:00,14.6,96.0,0.0,7.1,344.0,1.957025226300694,-6.824958041162064
2026-01-25 05:00:00,14.6,96.0,0.0,7.0,348.0,1.4553818357243162,-6.847033205136639
2026-01-25 06:00:00,14.6,95.0,0.0,6.0,344.0,1.653824134901995,-5.767570175629913
2026-01-25 07:00:00,14.4,95.0,0.0,5.7,347.0,1.2822210097600302,-5.553909369275841
2026-01-25 08:00:00,17.0,81.0,0.0,4.0,306.0,3.23606797749979,-2.3511410091698925
2026-01-25 09:00:00,20.5,67.0,0.0,4.2,329.0,2.1631599146222276,-3.600102662948872
2026-01-25 10:00:00,23.1,56.0,0.0,5.4,340.0,1.8469087739586119,-5.074340152243905
2026-01-25 11:00:00,24.6,51.0,0.0,5.9,305.0,4.8329970613050515,-3.384100974471172
2026-01-25 12:00:00,25.5,47.0,0.0,5.9,293.0,5.4309786353693985,-2.3053136580867153
2026-01-25 13:00:00,26.9,44.0,0.0,3.2,297.0,2.8512208774027776,-1.4527695991665497
2026-01-25 14:00:00,26.0,47.0,0.2,5.7,319.0,3.739536465245892,-4.301844607269801
2026-01-25 15:00:00,25.1,50.0,0.2,10.3,313.0,7.5329431266774565,-7.024583108643735
2026-01-25 16:00:00,23.6,59.0,0.1,13.4,334.0,5.874173366973638,-12.043840220408839
2026-01-25 17:00:00,22.9,62.0,0.0,13.1,352.0,1.8231676225768576,-12.972511700514572
2026-01-25 18:00:00,21.4,66.0,0.0,8.1,335.0,3.4232079200996655,-7.341093074996865
2026-01-25 19:00:00,20.5,69.0,0.0,8.9,322.0,5.479387130398359,-7.013295707099826
2026-01-25 20:00:00,19.3,76.0,0.0,9.6,343.0,2.806768365338273,-9.18052565724514
2026-01-25 21:00:00,18.5,82.0,0.0,10.0,347.0,2.249510543438649,-9.743700647852352
2026-01-25 22:00:00,17.7,89.0,0.0,9.4,342.0,2.904759747124506,-8.939931253174443
2026-01-25 23:00:00,17.0,94.0,0.0,9.0,340.0,3.0781812899310195,-8.457233587073175
2026-01-26 00:00:00,16.5,97.0,0.0,6.9,345.0,1.785851411207393,-6.664888201394572
2026-01-26 01:00:00,16.1,100.0,0.0,6.7,333.0,3.0417363482549638,-5.969743712062065
2026-01-26 02:00:00,16.4,99.0,0.0,6.4,333.0,2.9055391983331,-5.702441754805554
2026-01-26 03:00:00,16.5,99.0,0.0,7.4,326.0,4.138027485683526,-6.134878036907309
2026-01-26 04:00:00,16.5,98.0,0.0,6.7,344.0,1.8467702839738944,-6.440453362786736
2026-01-26 05:00:00,16.5,99.0,0.0,6.0,331.0,2.9088577214780225,-5.247718242836374
2026-01-26 06:00:00,16.5,98.0,0.0,6.1,330.0,3.0500000000000007,-5.282754963085075
2026-01-26 07:00:00,16.7,97.0,0.0,6.2,350.0,1.0766187015349686,-6.10580806867569
2026-01-26 08:00:00,17.5,90.0,0.0,6.6,334.0,2.893249568807911,-5.932040705574502
2026-01-26 09:00:00,20.1,77.0,0.0,7.7,330.0,3.850000000000001,-6.668395609140178
2026-01-26 10:00:00,22.6,65.0,0.0,11.2,342.0,3.4609903369994113,-10.651832982505718
2026-01-26 11:00:00,24.2,58.0,0.0,10.4,345.0,2.6917180690662157,-10.045628593406311
2026-01-26 12:00:00,25.2,54.0,0.0,8.8,341.0,2.8649997592229797,-8.320563465273988
2026-01-26 13:00:00,26.2,48.0,0.0,6.8,331.0,3.2967054176750925,-5.947414008547891
2026-01-26 14:00:00,25.9,48.0,0.1,10.8,339.0,3.870373855089244,-10.08266860616978
2026-01-26 15:00:00,25.5,48.0,0.0,11.7,356.0,0.8161507428062652,-11.671499388039942
2026-01-26 16:00:00,24.8,50.0,0.0,11.4,355.0,0.9935754673233028,-11.3566195582459
2026-01-26 17:00:00,23.9,55.0,0.0,11.2,354.0,1.1707187885977186,-11.13864522812466
2026-01-26 18:00:00,22.3,60.0,0.0,7.6,1.0,-0.13263828892335458,-7.598842483188573
2026-01-26 19:00:00,20.8,66.0,0.0,6.5,2.0,-0.22684672856625496,-6.496040375624123
2026-01-26 20:00:00,20.4,71.0,0.0,7.2,346.0,1.7418376483176072,-6.986129229187175
2026-01-26 21:00:00,19.5,76.0,0.0,4.9,17.0,-1.4326213531414118,-4.685893304218873
2026-01-26 22:00:00,19.0,80.0,0.0,3.4,90.0,-3.4,4.1637991171010006e-16
2026-01-26 23:00:00,18.1,84.0,0.0,2.9,112.0,-2.688833178243683,1.0863591209061454
2026-01-27 00:00:00,17.2,88.0,0.0,4.0,117.0,-3.564026096753471,1.8159619989581874
2026-01-27 01:00:00,17.3,87.0,0.0,7.3,106.0,-7.017210380349728,2.0121526974640944
2026-01-27 02:00:00,16.9,90.0,0.0,6.0,106.0,-5.767570175629913,1.6538241349019953
2026-01-27 03:00:00,16.7,90.0,0.0,1.6,27.0,-0.7263847995832751,-1.4256104387013886
2026-01-27 04:00:00,16.1,91.0,0.0,8.3,1.0,-0.14485497342945305,-8.298735869798048
2026-01-27 05:00:00,16.1,91.0,0.0,6.0,17.0,-1.7542302283364226,-5.7378285357782115
2026-01-27 06:00:00,15.8,91.0,0.0,5.3,10.0,-0.9203353416347307,-5.2194810909647025
2026-01-27 07:00:00,15.7,91.0,0.0,5.4,346.0,1.3063782362382055,-5.2395969218903815
2026-01-27 08:00:00,18.2,79.0,0.0,6.0,357.0,0.3140157374576638,-5.991777208527443
2026-01-27 09:00:00,21.4,67.0,0.0,7.9,343.0,2.309736467309621,-7.55480757210798
2026-01-27 10:00:00,23.8,56.0,0.0,9.7,350.0,1.6843873233692248,-9.552635204218417
2026-01-27 11:00:00,25.3,48.0,0.0,9.8,343.0,2.8652427062828205,-9.371786608437748
2026-01-27 12:00:00,26.4,44.0,0.0,8.1,332.0,3.802719658565716,-7.151875502157307
2026-01-27 13:00:00,27.1,42.0,0.0,5.9,310.0,4.51966221440197,-3.792446897150582
2026-01-27 14:00:00,26.0,46.0,0.1,11.0,304.0,9.119413298105458,-6.151121938178216
2026-01-27 15:00:00,24.8,51.0,0.0,15.1,325.0,8.661004188900797,-12.369195868763775
2026-01-27 16:00:00,24.1,52.0,0.0,15.1,335.0,6.381535752284561,-13.685247584253414
2026-01-27 17:00:00,22.5,58.0,0.0,14.0,337.0,5.470235798849832,-12.887067948334165
2026-01-27 18:00:00,20.4,67.0,0.0,11.4,332.0,5.351975815759156,-10.065602558591767
2026-01-27 19:00:00,19.0,72.0,0.0,10.8,339.0,3.870373855089244,-10.08266860616978
2026-01-27 20:00:00,18.5,77.0,0.0,10.8,349.0,2.0607371500666853,-10.601573581234772
2026-01-27 21:00:00,17.6,80.0,0.0,10.0,346.0,2.419218955996677,-9.702957262759965
2026-01-27 22:00:00,17.0,83.0,0.0,10.0,340.0,3.4202014332566884,-9.396926207859083
2026-01-27 23:00:00,16.4,84.0,0.0,11.6,345.0,3.0023009231892406,-11.204739584953192
2026-01-28 00:00:00,15.8,86.0,0.0,11.2,344.0,3.0871383851503906,-10.76613099450917
2026-01-28 01:00:00,15.4,88.0,0.0,10.9,340.0,3.7280195622497905,-10.242649566566401
2026-01-28 02:00:00,14.9,92.0,0.0,12.1,345.0,3.131710445740501,-11.687702498097726
2026-01-28 03:00:00,14.4,94.0,0.0,12.3,357.0,0.6437322617882109,-12.283143277481258
2026-01-28 04:00:00,14.4,94.0,0.0,12.1,356.0,0.8440533323039153,-12.070525008143873
2026-01-28 05:00:00,14.4,94.0,0.0,11.9,358.0,0.41530401075976286,-11.89275084152724
2026-01-28 06:00:00,14.2,95.0,0.0,11.7,357.0,0.6123306880424444,-11.683965556628513
2026-01-28 07:00:00,14.1,95.0,0.0,12.5,348.0,2.598896135221993,-12.22684500917257
2026-01-28 08:00:00,15.5,86.0,0.0,11.0,346.0,2.6611408515963446,-10.67325298903596
2026-01-28 09:00:00,17.8,74.0,0.0,10.3,357.0,0.5390603493023229,-10.285884207972112
2026-01-28 10:00:00,20.5,62.0,0.0,10.0,354.0,1.0452846326765346,-9.945218953682733
2026-01-28 11:00:00,22.8,51.0,0.0,9.6,348.0,1.9959522318504908,-9.390216967044534
2026-01-28 12:00:00,24.5,45.0,0.0,7.4,337.0,2.8914103508206255,-6.811735915548059
2026-01-28 13:00:00,25.6,41.0,0.0,6.4,315.0,4.525483399593905,-4.525483399593904
2026-01-28 14:00:00,25.6,41.0,0.0,8.2,320.0,5.270858399429622,-6.281564433575619
2026-01-28 15:00:00,25.2,42.0,0.0,13.2,325.0,7.571208959833809,-10.81280698461469
2026-01-28 16:00:00,23.2,47.0,0.0,17.8,333.0,8.081030895363934,-15.859916130552948
2026-01-28 17:00:00,21.0,54.0,0.0,15.8,336.0,6.426438960597643,-14.434018230753095
2026-01-28 18:00:00,19.0,61.0,0.0,11.9,335.0,5.029157314714324,-10.785062665736135
2026-01-28 19:00:00,18.0,65.0,0.0,11.9,342.0,3.6773022330618748,-11.317572543912327
2026-01-28 20:00:00,17.0,70.0,0.0,11.5,350.0,1.9969540431696997,-11.325289159640393
2026-01-28 21:00:00,16.1,74.0,0.0,11.3,343.0,3.303800263366926,-10.806243742382302
2026-01-28 22:00:00,15.4,77.0,0.0,11.2,345.0,2.8987733051482323,-10.818369254437565
2026-01-28 23:00:00,14.8,79.0,0.0,9.9,345.0,2.5623085465149553,-9.562665680261777
2026-01-29 00:00:00,14.2,81.0,0.0,7.3,337.0,2.8523372379716982,-6.719685430202815
2026-01-29 01:00:00,13.6,85.0,0.0,6.7,336.0,2.7251355086078615,-6.120754566205426
2026-01-29 02:00:00,13.5,85.0,0.0,6.2,345.0,1.6046780796356286,-5.9887401229922235
2026-01-29 03:00:00,13.2,87.0,0.0,6.2,348.0,1.2890524830701087,-6.064515124549595
2026-01-29 04:00:00,12.8,89.0,0.0,6.8,342.0,2.1013155617496424,-6.467184310807044
2026-01-29 05:00:00,12.5,91.0,0.0,6.6,339.0,2.3652284669989823,-6.161630814881531
2026-01-29 06:00:00,12.2,93.0,0.0,5.9,2.0,-0.2059070305447545,-5.896405879412665
2026-01-29 07:00:00,12.6,91.0,0.0,6.7,336.0,2.7251355086078615,-6.120754566205426
2026-01-29 08:00:00,15.2,81.0,0.0,3.2,289.0,3.025659441917814,-1.0418180942629014
2026-01-29 09:00:00,18.9,67.0,0.0,2.1,290.0,1.9733545036504079,-0.7182423009839043
2026-01-29 10:00:00,21.9,57.0,0.0,2.8,320.0,1.7998053071223101,-2.1449244407331385
2026-01-29 11:00:00,24.0,50.0,0.0,5.2,311.0,3.9244898171584146,-3.411506950750638
2026-01-29 12:00:00,25.4,46.0,0.0,8.1,287.0,7.746068523300587,-2.3682108082541675
2026-01-29 13:00:00,26.0,44.0,0.0,8.2,285.0,7.92059177557036,-2.12231616984067
2026-01-29 14:00:00,26.1,44.0,0.0,8.3,309.0,6.450311480092859,-5.223359245713651
2026-01-29 15:00:00,26.2,44.0,0.0,10.6,312.0,7.877335150060379,-7.092784427403897
