time,temperature_2m,relativehumidity_2m,precipitation,windspeed_10m,winddirection_10m,u,v
2026-06-05 00:00:00,27.0,84.0,0.7000000000000001,34.6,173.0,-4.216679281818099,34.342096846789744
2026-06-05 01:00:00,27.3,81.0,2.4,29.1,186.0,3.0417782810887157,28.940587155216754
2026-06-05 02:00:00,26.5,84.0,2.4,24.0,183.0,1.2560629498306553,23.967108834109773
2026-06-05 03:00:00,26.3,86.0,3.1,30.3,196.0,8.351811881255076,29.126229386931062
2026-06-05 04:00:00,26.5,85.0,5.0,40.0,195.0,10.35276180410083,38.63703305156273
2026-06-05 05:00:00,26.6,85.0,1.0,36.0,199.0,11.720453560457644,34.038668721575405
2026-06-05 06:00:00,26.3,86.0,0.6,29.2,192.0,6.071021371878576,28.56190994142712
2026-06-05 07:00:00,25.9,86.0,1.9,25.7,186.0,2.686381505978694,25.559212710964623
2026-06-05 08:00:00,26.2,86.0,2.5,16.4,180.0,1.0042103753008295e-15,16.4
2026-06-05 09:00:00,26.4,86.0,2.5,15.8,217.0,9.508677365802365,12.618441058747226
2026-06-05 10:00:00,26.4,86.0,1.8,23.8,209.0,11.538468961862824,20.81594902991762
2026-06-05 11:00:00,25.9,87.0,3.4,30.1,214.0,16.831706394469478,24.954030933906758
2026-06-05 12:00:00,26.5,86.0,6.2,43.0,213.0,23.419478505646165,36.062834421653235
2026-06-05 13:00:00,26.2,88.0,2.2,43.9,212.0,23.263455699837696,37.2293114212671
2026-06-05 14:00:00,26.7,88.0,2.3,49.2,199.0,16.017953199292112,46.519513919486386
2026-06-05 15:00:00,26.9,86.0,2.6,47.1,213.0,25.652498549207778,39.50138375022947
2026-06-05 16:00:00,26.8,87.0,2.1,40.1,196.0,11.053057968261667,38.546594007126586
2026-06-05 17:00:00,26.9,89.0,3.1,29.2,206.0,12.800437486241062,26.244786151935678
2026-06-05 18:00:00,27.2,86.0,2.1,26.7,223.0,18.20935621366871,19.52714383323185
2026-06-05 19:00:00,26.7,87.0,0.5,13.8,257.0,13.446306894036248,3.1043245499453374
2026-06-05 20:00:00,26.8,87.0,0.2,4.4,302.0,3.7314116230882743,-2.3316447626261017
2026-06-05 21:00:00,26.6,87.0,1.1,17.6,2.0,-0.6142311419640134,-17.589278555536087
2026-06-05 22:00:00,26.3,88.0,0.5,13.4,5.0,-1.1678869528186206,-13.34900895442939
2026-06-05 23:00:00,26.0,88.0,2.7,3.7,11.0,-0.7059932828932151,-3.632020578756357
2026-06-06 00:00:00,26.0,88.0,0.7000000000000001,4.8,63.0,-4.276831316104166,-2.179154398749824
2026-06-06 01:00:00,26.0,86.0,0.0,7.8,99.0,-7.703969056642074,1.2201888273138015
2026-06-06 02:00:00,26.2,88.0,0.0,12.9,162.0,-3.986319227436821,12.268629060207482
2026-06-06 03:00:00,26.6,85.0,0.0,4.2,313.0,3.071685546800516,-2.8643931122624937
2026-06-06 04:00:00,26.5,87.0,0.0,17.1,356.0,1.1928357010245416,-17.058345259442994
2026-06-06 05:00:00,26.9,84.0,0.0,13.5,9.0,-2.111865278043119,-13.333792598034359
2026-06-06 06:00:00,27.0,82.0,0.0,7.0,29.0,-3.393667341724358,-6.122337949975772
2026-06-06 07:00:00,26.9,82.0,0.0,2.2,5.0,-0.19174263404484818,-2.1916283358018402
2026-06-06 08:00:00,26.9,86.0,0.0,3.2,344.0,0.8820395386143973,-3.0760374270026207
2026-06-06 09:00:00,27.1,84.0,0.0,1.0,59.0,-0.8571673007021123,-0.5150380749100542
2026-06-06 10:00:00,27.5,82.0,0.0,5.2,20.0,-1.7785047452934766,-4.886401628086724
2026-06-06 11:00:00,27.9,81.0,0.0,1.8,174.0,-0.1881512338817764,1.790139411662892
2026-06-06 12:00:00,28.2,83.0,0.0,8.3,236.0,6.881011852206846,4.6413010988072
2026-06-06 13:00:00,28.0,84.0,0.0,4.8,245.0,4.350277377775919,2.0285676563553574
2026-06-06 14:00:00,27.7,89.0,0.0,10.1,22.0,-3.783526593500714,-9.364556931124552
2026-06-06 15:00:00,27.9,90.0,0.0,20.8,30.0,-10.40000000000001,-18.013328398716318
2026-06-06 16:00:00,28.1,87.0,0.0,22.8,39.0,-14.348504915936303,-17.71892792121893
2026-06-06 17:00:00,28.0,87.0,0.0,20.2,41.0,-13.252392385608246,-15.245133520499994
2026-06-06 18:00:00,27.7,88.0,0.0,23.7,36.0,-13.930510479331616,-19.17370276668625
2026-06-06 19:00:00,27.6,88.0,0.1,24.9,37.0,-14.985194076486001,-19.88602420017759
2026-06-06 20:00:00,27.9,84.0,0.0,22.9,22.0,-8.578490989224392,-21.23251026957943
2026-06-06 21:00:00,27.2,87.0,0.2,27.3,26.0,-11.967532307341823,-24.537077463967254
2026-06-06 22:00:00,26.8,88.0,0.1,14.1,333.0,6.40126604632761,-12.563191991055985
2026-06-06 23:00:00,26.6,88.0,0.3,12.4,312.0,9.214995835919689,-8.297219518849843
2026-06-07 00:00:00,26.4,89.0,0.2,9.5,292.0,8.80824661838448,-3.558762637451164
2026-06-07 01:00:00,26.6,87.0,0.1,6.9,275.0,6.873743416833045,-0.6013746249588414
2026-06-07 02:00:00,26.6,88.0,0.1,9.8,126.0,-7.928366544874485,5.760295472466238
2026-06-07 03:00:00,26.7,88.0,0.0,15.1,149.0,-7.7770749311418195,12.943226240601897
2026-06-07 04:00:00,26.8,88.0,0.0,16.1,176.0,-1.123079227280418,16.060781209183173
2026-06-07 05:00:00,27.3,86.0,0.0,19.6,202.0,7.342289230951875,18.172803549509034
2026-06-07 06:00:00,27.5,86.0,0.0,17.2,222.0,11.509046429372361,12.78209099821118
2026-06-07 07:00:00,27.1,88.0,0.0,12.4,246.0,11.32796367476825,5.043534374139923
2026-06-07 08:00:00,27.4,89.0,0.0,4.8,13.0,-1.0797650608505531,-4.6769763109691285
2026-06-07 09:00:00,26.9,92.0,0.0,9.5,21.0,-3.404495520680357,-8.869014051723415
2026-06-07 10:00:00,27.1,90.0,0.0,4.0,60.0,-3.4641016151377544,-2.0000000000000004
2026-06-07 11:00:00,27.5,89.0,0.0,21.3,199.0,6.934601689937439,20.139545660265448
2026-06-07 12:00:00,27.8,86.0,0.0,35.2,202.0,13.186152088240101,32.63687168075092
2026-06-07 13:00:00,27.5,88.0,0.0,38.4,197.0,11.227073461353092,36.72210262898056
2026-06-07 14:00:00,28.1,85.0,0.0,34.9,203.0,13.636516384275652,32.12561938549017
2026-06-07 15:00:00,28.1,85.0,0.0,38.0,198.0,11.742645786248003,36.14014761921583
2026-06-07 16:00:00,28.2,84.0,0.0,35.6,199.0,11.59022629867478,33.66046129133568
2026-06-07 17:00:00,28.3,81.0,0.0,36.1,205.0,15.25651924883925,32.71771111202306
2026-06-07 18:00:00,28.1,82.0,0.0,37.1,201.0,13.295450928130645,34.635833823046184
2026-06-07 19:00:00,27.7,84.0,0.0,36.5,203.0,14.26168618985849,33.59842715101407
2026-06-07 20:00:00,27.6,87.0,0.0,29.2,212.0,15.473642515609583,24.76300440776764
2026-06-07 21:00:00,27.4,87.0,0.1,24.2,208.0,11.361211819418559,21.36733174718603
2026-06-07 22:00:00,27.9,83.0,0.0,28.9,200.0,9.884382142111829,27.15711674071275
2026-06-07 23:00:00,28.0,83.0,0.0,33.7,201.0,12.076999899676624,31.461660372955702
2026-06-08 00:00:00,27.7,85.0,0.0,34.6,199.0,11.264658144217623,32.71494271573636
2026-06-08 01:00:00,27.7,82.0,0.0,37.5,203.0,14.652417318347764,34.518932004466514
2026-06-08 02:00:00,27.2,85.0,0.0,31.8,205.0,13.439260723354243,28.82058762776547
2026-06-08 03:00:00,27.1,86.0,0.0,28.8,202.0,10.788669890378264,26.702895011523477
2026-06-08 04:00:00,27.1,87.0,0.0,29.4,197.0,8.595728118848461,28.11535982531324
2026-06-08 05:00:00,27.1,85.0,0.0,32.7,197.0,9.560554744433492,31.27116551999126
2026-06-08 06:00:00,26.9,87.0,0.0,34.7,199.0,11.297214959663341,32.80949457329629
2026-06-08 07:00:00,26.8,88.0,0.0,36.5,199.0,11.883237637686221,34.51142800937506
2026-06-08 08:00:00,27.3,85.0,0.0,44.6,191.0,8.510081193793903,43.780572381765815
2026-06-08 09:00:00,27.3,84.0,0.0,48.0,200.0,16.416966879632103,45.1052457977236
2026-06-08 10:00:00,27.1,87.0,0.0,46.6,201.0,16.699946448810998,43.5048478747696
2026-06-08 11:00:00,26.9,88.0,0.0,46.1,203.0,18.01270502335552,42.435273744157506
2026-06-08 12:00:00,27.0,87.0,0.0,43.5,205.0,18.383894385720424,39.42438873609427
2026-06-08 13:00:00,27.0,87.0,0.0,44.0,208.0,20.6567487625792,38.849694085792784
2026-06-08 14:00:00,27.2,86.0,0.1,40.6,203.0,15.863683816664514,37.37249705016908
2026-06-08 15:00:00,27.1,85.0,0.2,42.2,202.0,15.808398242151485,39.12715866271843
2026-06-08 16:00:00,27.6,83.0,0.0,41.1,199.0,13.380851148189143,38.86081345713192
2026-06-08 17:00:00,27.5,84.0,0.0,44.2,192.0,9.189696734144968,43.23412395243421
2026-06-08 18:00:00,27.5,83.0,0.0,49.4,197.0,14.443162213303196,47.24145494457395
2026-06-08 19:00:00,27.1,88.0,0.0,49.8,203.0,19.45841019876583,45.84114170193153
2026-06-08 20:00:00,27.5,87.0,0.6,41.6,210.0,20.800000000000004,36.02665679743264
2026-06-08 21:00:00,27.7,83.0,0.0,48.0,213.0,26.142673680721302,40.256187261380354
2026-06-08 22:00:00,27.5,84.0,0.0,44.0,206.0,19.288330458719408,39.54693803716335
2026-06-08 23:00:00,27.3,87.0,0.2,48.4,206.0,21.217163504591348,43.50163184087968
2026-06-09 00:00:00,27.0,89.0,0.0,52.0,203.0,20.318018681442233,47.8662523795269
2026-06-09 01:00:00,26.8,89.0,0.0,53.6,204.0,21.80108406886289,48.96603652964341
2026-06-09 02:00:00,26.7,90.0,0.0,50.0,204.0,20.33683215379001,45.67727288213004
2026-06-09 03:00:00,26.6,89.0,0.3,50.3,204.0,20.458853146712748,45.951336519422824
2026-06-09 04:00:00,26.6,88.0,0.4,43.7,199.0,14.227328349777752,41.319161753690146
2026-06-09 05:00:00,26.7,88.0,0.2,47.6,206.0,20.866466587160087,42.782596603840354
2026-06-09 06:00:00,26.2,89.0,0.1,47.8,210.0,23.900000000000002,41.39601430089616
2026-06-09 07:00:00,26.6,88.0,2.8,40.2,207.0,18.250418089529784,35.818462272372386
2026-06-09 08:00:00,27.1,87.0,0.5,61.0,199.0,19.859657421886563,57.676633111558324
2026-06-09 09:00:00,27.0,87.0,0.5,48.2,199.0,15.692385044834957,45.57399534388707
2026-06-09 10:00:00,26.5,91.0,0.4,51.0,197.0,14.910956940859576,48.77154255411481
2026-06-09 11:00:00,25.9,90.0,2.7,49.1,200.0,16.79318903729034,46.1389076805881
2026-06-09 12:00:00,26.6,89.0,7.8,48.7,201.0,17.45251914285613,45.46536677041373
2026-06-09 13:00:00,26.9,88.0,0.2,49.3,202.0,18.468105055404457,45.710164030142614
2026-06-09 14:00:00,26.4,91.0,0.1,47.7,186.0,4.98600769786707,47.43869440906664
2026-06-09 15:00:00,26.7,88.0,0.0,49.6,198.0,15.327242920997394,47.172403208239615
2026-06-09 16:00:00,27.1,86.0,0.0,56.3,209.0,27.29478161986878,49.241089511947976
2026-06-09 17:00:00,26.8,89.0,0.6,50.1,208.0,23.520525295573133,44.235674402232235
2026-06-09 18:00:00,26.5,90.0,1.3,41.0,219.0,25.802136033043336,31.862984419735806
2026-06-09 19:00:00,26.9,88.0,3.6,34.7,220.0,22.304730056122917,26.581742176228538
2026-06-09 20:00:00,26.2,89.0,1.9,28.0,32.0,-14.83773939852974,-23.745346692379925
2026-06-09 21:00:00,26.1,90.0,0.5,23.3,22.0,-8.728333626590757,-21.603383811406147
2026-06-09 22:00:00,26.5,87.0,0.1,21.6,17.0,-6.315228822011122,-20.656182728801564
2026-06-09 23:00:00,26.4,87.0,0.0,21.6,15.0,-5.590491374214446,-20.863997847843876
2026-06-10 00:00:00,26.2,88.0,0.3,17.5,21.0,-6.271439117042762,-16.337657463701028
2026-06-10 01:00:00,26.2,86.0,1.1,11.8,40.0,-7.584893794301166,-9.03932442880394
2026-06-10 02:00:00,25.7,88.0,3.1,15.5,44.0,-10.767204742114458,-11.149766905249093
2026-06-10 03:00:00,25.5,88.0,2.6,21.8,32.0,-11.55223996028387,-18.487448496210085
2026-06-10 04:00:00,25.4,86.0,2.8,26.8,27.0,-12.166945393019857,-23.87897484824826
2026-06-10 05:00:00,25.4,86.0,2.2,24.7,17.0,-7.221581106651606,-23.620727472286973
2026-06-10 06:00:00,25.3,88.0,2.7,24.6,8.0,-3.4236582836176197,-24.36059449104263
2026-06-10 07:00:00,25.5,86.0,2.7,18.0,9.0,-2.8158203707241585,-17.778390130712477
2026-06-10 08:00:00,26.1,84.0,1.6,8.5,347.0,1.9120839619228518,-8.2821455506745
2026-06-10 09:00:00,25.9,84.0,2.2,5.6,86.0,-5.586358681455015,-0.3906362529671015
