time,temperature_2m,relativehumidity_2m,precipitation,windspeed_10m,winddirection_10m,u,v
2025-12-13 00:00:00,14.5,79.0,0.0,3.0,295.0,2.7189233611099497,-1.2678547852220983
2025-12-13 01:00:00,11.7,87.0,0.0,3.1,294.0,2.8319909186920627,-1.2608835935349807
2025-12-13 02:00:00,12.1,83.0,0.0,2.2,294.0,2.0098000068137223,-0.8948206147667606
2025-12-13 03:00:00,12.2,81.0,0.0,1.8,294.0,1.6443818237566816,-0.7321259575364404
2025-12-13 04:00:00,12.8,76.0,0.0,1.5,300.0,1.299038105676658,-0.7499999999999999
2025-12-13 05:00:00,11.6,78.0,0.0,1.9,311.0,1.4339482024232668,-1.2465121550819638
2025-12-13 06:00:00,12.4,71.0,0.0,1.5,306.0,1.2135254915624212,-0.8816778784387097
2025-12-13 07:00:00,13.6,69.0,0.0,1.7000000000000002,319.0,1.1153003492838625,-1.2830062863787126
2025-12-13 08:00:00,16.8,66.0,0.0,4.4,353.0,0.536225110982649,-4.367203067221817
2025-12-13 09:00:00,17.6,69.0,0.0,3.2,106.0,-3.0760374270026207,0.8820395386143975
2025-12-13 10:00:00,18.3,77.0,0.0,7.3,118.0,-6.445517427870167,3.427142408337002
2025-12-13 11:00:00,18.9,77.0,0.1,9.8,118.0,-8.652886410017485,4.600821315301729
2025-12-13 12:00:00,17.4,89.0,0.6,8.6,120.0,-7.447818472546173,4.299999999999999
2025-12-13 13:00:00,16.6,95.0,1.4,9.1,124.0,-7.544241910250879,5.0886554215837965
2025-12-13 14:00:00,16.0,100.0,1.8,5.0,109.0,-4.727592877996584,1.6278407722857828
2025-12-13 15:00:00,16.2,98.0,1.2,7.1,114.0,-6.486172749262465,2.887830165838183
2025-12-13 16:00:00,15.8,100.0,1.6,6.6,107.0,-6.311611389356035,1.9296532511700615
2025-12-13 17:00:00,15.4,100.0,1.1,5.3,98.0,-5.248420764330323,0.7376174350883462
2025-12-13 18:00:00,15.2,100.0,0.8,4.2,70.0,-3.9467090073008158,-1.4364846019678084
2025-12-13 19:00:00,15.1,100.0,0.6,2.2,14.0,-0.5322281703192692,-2.1346505978071924
2025-12-13 20:00:00,15.1,99.0,1.3,1.4,67.0,-1.2887067948334165,-0.547023579884983
2025-12-13 21:00:00,14.8,100.0,0.8,1.9,124.0,-1.575171387854579,1.0624665165944192
2025-12-13 22:00:00,14.6,100.0,1.1,2.1,142.0,-1.2928890981838825,1.6548225825741163
2025-12-13 23:00:00,14.3,100.0,1.6,3.0,128.0,-2.364032260820166,1.8469844259769752
2025-12-14 00:00:00,14.1,100.0,0.9,3.1,144.0,-1.8221342821066664,2.5079526825623373
2025-12-14 01:00:00,13.7,100.0,0.6,2.3,180.0,1.408343819019456e-16,2.3
2025-12-14 02:00:00,13.4,100.0,0.9,3.5,105.0,-3.380740392011739,0.9058666578588236
2025-12-14 03:00:00,12.9,100.0,0.3,3.6,131.0,-2.716954488801979,2.3618125043658265
2025-12-14 04:00:00,12.8,100.0,0.6,3.6,131.0,-2.716954488801979,2.3618125043658265
2025-12-14 05:00:00,12.2,100.0,0.4,3.3,119.0,-2.8862450335600056,1.5998717468129127
2025-12-14 06:00:00,11.9,100.0,0.5,4.4,128.0,-3.4672473158695767,2.708910491432897
2025-12-14 07:00:00,11.4,100.0,0.7000000000000001,4.6,129.0,-3.5748714227020657,2.8948737988292517
2025-12-14 08:00:00,11.4,100.0,0.5,6.7,126.0,-5.420413862312147,3.938161190359571
2025-12-14 09:00:00,11.5,99.0,0.6,7.6,135.0,-5.37401153701776,5.374011537017761
2025-12-14 10:00:00,12.1,95.0,0.2,8.9,130.0,-6.817795543758904,5.720809726210201
2025-12-14 11:00:00,12.1,97.0,0.2,9.3,126.0,-7.5238580476870105,5.466402846320002
2025-12-14 12:00:00,12.0,97.0,0.2,9.2,123.0,-7.715769225097899,5.010679122138251
2025-12-14 13:00:00,12.4,93.0,0.2,10.7,117.0,-9.533769808815535,4.857698347213151
2025-12-14 14:00:00,11.4,97.0,0.3,9.2,97.0,-9.131424595100162,1.1211979593273573
