time,temperature_2m,relativehumidity_2m,precipitation,windspeed_10m,winddirection_10m,u,v
2026-03-20 00:00:00,15.1,99.0,0.0,3.1,173.0,-0.37779496455595685,3.0768930700880985
2026-03-20 01:00:00,14.9,98.0,0.0,1.8,169.0,-0.34345619167778063,1.7669289302057951
2026-03-20 02:00:00,14.9,96.0,0.0,5.4,206.0,2.3672041926610183,4.853487850015503
2026-03-20 03:00:00,14.9,95.0,0.0,5.6,222.0,3.747131395609606,4.161611022673408
2026-03-20 04:00:00,15.0,95.0,0.0,5.0,218.0,3.0783073766282913,3.94005376803361
2026-03-20 05:00:00,15.1,95.0,0.0,4.8,214.0,2.6841259366595844,3.9793803482642
2026-03-20 06:00:00,15.1,96.0,0.1,2.5,188.0,0.34793275240016364,2.475670171853926
2026-03-20 07:00:00,15.4,97.0,0.1,3.6,150.0,-1.7999999999999992,3.1176914536239795
2026-03-20 08:00:00,16.1,98.0,0.1,6.5,161.0,-2.116193003971518,6.1458707413955596
2026-03-20 09:00:00,17.1,90.0,0.1,4.3,114.0,-3.9282454678631833,1.7489675652259418
2026-03-20 10:00:00,17.7,88.0,0.0,4.6,101.0,-4.515485043859254,0.8777213787321068
2026-03-20 11:00:00,19.0,83.0,0.1,7.6,91.0,-7.598842483188573,0.13263828892335414
2026-03-20 12:00:00,18.5,87.0,0.2,8.1,91.0,-8.098766330766768,0.14136449214199584
2026-03-20 13:00:00,19.0,85.0,0.3,9.4,72.0,-8.939931253174445,-2.904759747124505
2026-03-20 14:00:00,18.3,89.0,0.5,9.1,82.0,-9.01143942554829,-1.2664752187365962
2026-03-20 15:00:00,18.8,89.0,0.1,10.2,76.0,-9.897016408015164,-2.4676033351166082
2026-03-20 16:00:00,18.4,92.0,0.2,10.5,74.0,-10.093247807352348,-2.8941922360784895
2026-03-20 17:00:00,18.2,93.0,0.2,8.5,72.0,-8.083980388508806,-2.626644452187052
2026-03-20 18:00:00,17.4,98.0,0.2,5.9,67.0,-5.4309786353693985,-2.305313658086714
2026-03-20 19:00:00,17.1,100.0,0.1,4.0,60.0,-3.4641016151377544,-2.0000000000000004
2026-03-20 20:00:00,16.7,100.0,0.0,1.4,50.0,-1.0724622203665692,-0.8999026535611548
2026-03-20 21:00:00,17.0,100.0,0.1,2.4,99.0,-2.37045201742833,0.37544271609655433
2026-03-20 22:00:00,17.1,100.0,0.1,2.2,95.0,-2.1916283358018402,0.19174263404484804
2026-03-20 23:00:00,17.0,100.0,0.0,0.8,297.0,0.7128052193506944,-0.3631923997916374
2026-03-21 00:00:00,17.0,98.0,0.0,4.0,260.0,3.939231012048832,0.6945927106677213
2026-03-21 01:00:00,17.0,96.0,0.0,3.4,288.0,3.233592155403522,-1.0506577808748212
2026-03-21 02:00:00,16.6,94.0,0.0,5.2,316.0,3.612223526386786,-3.740566961760986
2026-03-21 03:00:00,16.6,94.0,0.0,4.7,356.0,0.3278554265973886,-4.688551036221174
2026-03-21 04:00:00,16.1,97.0,0.0,5.5,19.0,-1.7906248495143615,-5.200352165796243
2026-03-21 05:00:00,15.7,99.0,0.0,3.9,24.0,-1.5862729079956204,-3.5628272848061435
2026-03-21 06:00:00,15.4,100.0,0.0,2.9,360.0,1.7757378587636622e-16,-2.9
2026-03-21 07:00:00,15.8,100.0,0.0,0.6000000000000001,252.0,0.5706339097770922,0.18541019662496847
2026-03-21 08:00:00,17.1,94.0,0.0,1.2,27.0,-0.5447885996874563,-1.0692078290260414
2026-03-21 09:00:00,17.9,89.0,0.0,5.5,46.0,-3.956368901862581,-3.8206210375244853
2026-03-21 10:00:00,18.8,84.0,0.1,7.8,48.0,-5.796529638723675,-5.219218729599094
2026-03-21 11:00:00,19.0,83.0,0.3,10.7,60.0,-9.266471820493493,-5.3500000000000005
2026-03-21 12:00:00,18.8,85.0,0.3,10.6,67.0,-9.757351446595868,-4.141749961986299
2026-03-21 13:00:00,18.8,84.0,0.4,10.1,70.0,-9.490895469937675,-3.4544034475892533
2026-03-21 14:00:00,19.1,84.0,0.5,5.1,67.0,-4.694574752607446,-1.992728755295295
2026-03-21 15:00:00,19.0,85.0,0.3,7.4,56.0,-6.13487803690731,-4.1380274856835255
2026-03-21 16:00:00,18.4,88.0,0.1,5.8,68.0,-5.377666356487367,-2.1727182418122895
2026-03-21 17:00:00,17.9,91.0,0.2,4.7,81.0,-4.6421352007971475,-0.7352419856890845
2026-03-21 18:00:00,17.3,95.0,0.1,3.1,90.0,-3.1,3.796405077356795e-16
2026-03-21 19:00:00,17.0,98.0,0.1,3.0,104.0,-2.9108871788279895,0.7257656867990032
2026-03-21 20:00:00,16.8,100.0,0.0,0.8,45.0,-0.5656854249492381,-0.565685424949238
2026-03-21 21:00:00,16.1,100.0,0.0,2.6,39.0,-1.6362330167295784,-2.0205794997881235
2026-03-21 22:00:00,16.0,98.0,0.0,1.7000000000000002,311.0,1.2830062863787126,-1.1153003492838625
2026-03-21 23:00:00,15.6,97.0,0.0,3.1,277.0,3.076893070088098,-0.3777949645559572
2026-03-22 00:00:00,15.7,94.0,0.0,4.6,283.0,4.482102298012082,-1.034774849981779
2026-03-22 01:00:00,15.2,95.0,0.0,4.0,291.0,3.734321705988807,-1.433471798181201
2026-03-22 02:00:00,15.4,93.0,0.0,4.4,277.0,4.367203067221817,-0.5362251109826489
2026-03-22 03:00:00,15.0,93.0,0.0,3.2,289.0,3.025659441917814,-1.0418180942629014
2026-03-22 04:00:00,14.9,92.0,0.0,3.3,283.0,3.2154212137912763,-0.7423384793347545
2026-03-22 05:00:00,14.8,91.0,0.0,3.7,284.0,3.590094187221187,-0.8951110137187707
2026-03-22 06:00:00,14.6,89.0,0.0,3.3,292.0,3.0597067200703982,-1.2362017582725096
2026-03-22 07:00:00,16.4,85.0,0.0,4.4,297.0,3.9204287064288192,-1.9975581988540059
2026-03-22 08:00:00,17.1,95.0,0.0,0.7000000000000001,360.0,4.2862637970157366e-17,-0.7000000000000001
2026-03-22 09:00:00,18.9,86.0,0.0,4.7,106.0,-4.517929970910099,1.2954955723398964
2026-03-22 10:00:00,20.1,81.0,0.0,6.0,97.0,-5.955276909847932,0.7312160604308853
2026-03-22 11:00:00,21.1,77.0,0.0,7.6,87.0,-7.589584464134761,-0.3977532674463711
2026-03-22 12:00:00,21.1,77.0,0.0,8.7,94.0,-8.67880723726047,0.606881321573892
2026-03-22 13:00:00,21.3,76.0,0.0,7.3,115.0,-6.616046845367545,3.085113310707106
2026-03-22 14:00:00,20.1,82.0,0.1,6.6,103.0,-6.430842427582552,1.4846769586695103
2026-03-22 15:00:00,21.5,76.0,0.0,4.9,100.0,-4.82555798975982,0.8508760705679584
2026-03-22 16:00:00,21.2,78.0,0.0,5.7,101.0,-5.595274945651685,1.0876112736463064
2026-03-22 17:00:00,20.4,83.0,0.0,4.9,107.0,-4.685893304218874,1.4326213531414094
2026-03-22 18:00:00,18.3,94.0,0.0,2.4,117.0,-2.138415658052083,1.0895771993749124
2026-03-22 19:00:00,17.0,97.0,0.0,1.8,270.0,1.8,0.0
2026-03-22 20:00:00,17.5,96.0,0.0,2.5,270.0,2.5,0.0
2026-03-22 21:00:00,17.1,93.0,0.0,1.8,270.0,1.8,0.0
2026-03-22 22:00:00,16.9,92.0,0.0,1.8,270.0,1.8,0.0
2026-03-22 23:00:00,16.8,91.0,0.0,2.2,275.0,2.1916283358018402,-0.19174263404484798
