time,temperature_2m,relativehumidity_2m,precipitation,windspeed_10m,winddirection_10m,u,v
2023-02-12 00:00:00,18.4,94.0,0.0,9.3,77.0,-9.06164160250269,-2.0920448053979444
2023-02-12 01:00:00,18.8,93.0,0.0,9.3,77.0,-9.06164160250269,-2.0920448053979444
2023-02-12 02:00:00,18.9,94.0,0.0,7.0,78.0,-6.847033205136639,-1.4553818357243165
2023-02-12 03:00:00,18.9,94.0,0.0,5.7,72.0,-5.421022142882376,-1.7613968679371996
2023-02-12 04:00:00,18.5,95.0,0.0,3.7,209.0,1.7937955949114475,3.2360929164157644
2023-02-12 05:00:00,17.5,93.0,0.0,5.4,217.0,3.2498011250210617,4.312631754255381
2023-02-12 06:00:00,17.8,89.0,0.0,4.0,260.0,3.939231012048832,0.6945927106677213
2023-02-12 07:00:00,17.1,94.0,0.0,4.0,275.0,3.984778792366982,-0.34862297099063266
2023-02-12 08:00:00,18.8,87.0,0.0,1.8,281.0,1.7669289302057951,-0.34345619167778063
2023-02-12 09:00:00,20.2,85.0,0.0,1.9,22.0,-0.7117525274902333,-1.7616493236768958
2023-02-12 10:00:00,22.0,81.0,0.0,3.3,41.0,-2.1649947956686737,-2.4905416147351476
2023-02-12 11:00:00,24.1,75.0,0.0,5.5,32.0,-2.9145559532826275,-4.664264528860342
2023-02-12 12:00:00,25.7,70.0,0.0,6.5,341.0,2.116193003971519,-6.145870741395559
2023-02-12 13:00:00,26.6,60.0,0.0,11.3,301.0,9.68599049793387,-5.8199302464836125
2023-02-12 14:00:00,23.6,83.0,0.0,17.8,302.0,15.095256111584384,-9.432562903351048
2023-02-12 15:00:00,21.2,91.0,0.0,11.6,306.0,9.38459713474939,-6.818308926592688
2023-02-12 16:00:00,20.1,93.0,0.0,6.8,288.0,6.467184310807044,-2.1013155617496424
2023-02-12 17:00:00,19.3,95.0,0.0,3.7,241.0,3.2360929164157644,1.7937955949114472
2023-02-12 18:00:00,18.9,95.0,0.0,3.3,276.0,3.2819222547153015,-0.3449439287832564
2023-02-12 19:00:00,18.4,98.0,0.0,1.8,307.0,1.437543918085127,-1.083267041673687
2023-02-12 20:00:00,19.0,99.0,0.0,0.5,135.0,-0.35355339059327373,0.3535533905932738
2023-02-12 21:00:00,19.1,98.0,0.0,1.5,45.0,-1.0606601717798214,-1.0606601717798212
2023-02-12 22:00:00,19.4,96.0,0.0,1.1,72.0,-1.046162167924669,-0.33991869381244205
2023-02-12 23:00:00,19.0,98.0,0.0,0.8,63.0,-0.7128052193506944,-0.36319239979163737
2023-02-13 00:00:00,18.3,100.0,0.0,3.6,135.0,-2.545584412271571,2.5455844122715714
2023-02-13 01:00:00,18.3,99.0,0.0,3.9,146.0,-2.180852323535912,3.233246532964663
2023-02-13 02:00:00,18.9,96.0,0.0,2.6,106.0,-2.499280409439629,0.716657125124198
2023-02-13 03:00:00,19.2,95.0,0.0,3.7,61.0,-3.236092916415765,-1.7937955949114468
